,phrase,frequency
0,弹幕,21
1,远坂家,44
2,特有,29
3,多少,1083
4,本地,22
5,其实,3456
6,凛请,1
7,吼吼,127
8,逃跑,188
9,反而,231
10,直接,4412
11,走来,14
12,时臣,568
13,到底,1318
14,什么,8789
15,救命,544
16,男人,2818
17,甚至,657
18,没有,7933
19,一个,14978
20,记得,1437
21,老本,2
22,行哈哈哈哈,8
23,06,230
24,看到,2506
25,螺丝,22
26,斯斯咩,1193
27,所以,5379
28,这就,2597
29,弓兵,517
30,无限,711
31,项链,88
32,卡bug,75
33,你们,5317
34,可是,1900
35,商业,136
36,互吹捧,1
37,天上,402
38,全身,90
39,魔法,1824
40,阵里,2
41,从者,104
42,出来,2757
43,冰室,50
44,红A,2117
45,热心,320
46,市民,396
47,自动,268
48,就是,11155
49,偶像,65
50,龙娘,1
51,有趣,120
52,灵魂,1582
53,闹钟,25
54,不用,954
55,宝石,178
56,只能,1108
57,召唤,790
58,女主,2558
59,不是,11168
60,saber,1592
61,这么,6349
62,二爷,899
63,写进,4
64,设定,557
65,家伙,420
66,笑话,99
67,认为,443
68,秘密,232
69,进行,411
70,已经,6748
71,引起,56
72,众目,1
73,令咒,278
74,可爱,6882
75,区区,375
76,致命伤,175
77,众所周知,1431
78,圣杯,725
79,战争,677
80,无人不知,5
81,无人不晓,4
82,傲娇,3579
83,红a别,2
84,无视,153
85,这里,5404
86,不住,1059
87,这个,12177
88,红头发,19
89,开头,211
90,只有,2617
91,戏份,192
92,应该,2720
93,可能,2429
94,主角,3064
95,soudayo,1220
96,近战,443
97,呆毛,992
98,bgo,1
99,现状,248
100,出金,15
101,但是,2439
102,卡面,11
103,dd,1416
104,哈哈哈哈哈,1901
105,算了,397
106,话匣子,1
107,嘞哇,1
108,QQ,45
109,生命体,28
110,阿布索留特,24
111,战士,1402
112,doge,4494
113,避矢之加护,2
114,哦咩爹多,1313
115,剑制,158
116,小子,601
117,士郎,2714
118,圣遗物,74
119,红宝石,23
120,售饮机,1
121,位置,392
122,春物,225
123,里面,929
124,差不多,285
125,好像,3079
126,真的,7946
127,时辰,430
128,错doge,4
129,使用,990
130,红哲宝石,1
131,相当于,225
132,绑定,15
133,藤姐,60
134,总是,720
135,开心,790
136,prpr,1251
137,哎呦,106
138,开始,7415
139,汉子,37
140,archer,127
141,我们,3574
142,先生,331
143,上线,1523
144,夜错,1
145,世界,4413
146,老师,11545
147,不同,246
148,剧场,133
149,战友,12
150,毕竟,703
151,家政A,3
152,说到,87
153,上次,274
154,除了,622
155,主板,15
156,好家伙,2452
157,错雾,1
158,别名,1
159,至冬,3
160,玩具,85
161,推销员,6
162,怎么,7875
163,核善,284
164,眼神,1721
165,遗憾,100
166,使用者,33
167,败家,23
168,闺女,64
169,街道,24
170,安静,149
171,警觉,610
172,同人,33
173,思路,47
174,凛用村,1
