,phrase,frequency
0,治疗,90134
1,最佳,90019
2,时期,90005
3,尽力,90002
4,一个,14978
5,这个,12177
6,老师,11545
7,不是,11168
8,就是,11155
9,男主,9403
10,自己,9051
11,什么,8789
12,指导,8726
13,完结,8149
14,真的,7946
15,没有,7933
16,怎么,7875
17,撒花,7636
18,开始,7415
19,这是,7053
20,可爱,6882
21,已经,6748
22,知道,6741
23,这么,6349
24,路哥,5879
25,感谢,5749
26,会长,5699
27,可以,5674
28,为什么,5477
29,这里,5404
30,所以,5379
31,前方,5376
32,你们,5317
33,喜欢,5310
34,486,5137
35,陪伴,4948
36,因为,4853
37,那个,4823
38,骨王,4784
39,doge,4494
40,还是,4478
41,正宫,4428
42,世界,4413
43,直接,4412
44,现在,4030
45,感觉,3948
46,团子,3873
47,哈哈哈,3869
48,高能,3656
49,动作,3599
50,不要,3590
51,傲娇,3579
52,我们,3574
53,其实,3456
54,学姐,3431
55,魔女,3346
56,这样,3297
57,出现,3190
58,好像,3079
59,主角,3064
60,原来,3028
61,只是,3017
62,以为,3005
63,哈哈哈哈,2962
64,突然,2941
65,一样,2859
66,他们,2848
67,需要,2820
68,男人,2818
69,终于,2789
70,出来,2757
71,有点,2739
72,辉夜,2730
73,游戏,2723
74,应该,2720
75,士郎,2714
76,技能,2677
77,一直,2629
78,只有,2617
79,还有,2603
80,这就,2597
81,女主,2558
82,看到,2506
83,笑死,2504
84,奇怪,2471
85,好家伙,2452
86,但是,2439
87,可能,2429
88,真是,2425
89,孩子,2384
90,一下,2342
91,温柔,2339
92,觉得,2290
93,时候,2224
94,地方,2216
95,这不,2192
96,美丽哥,2159
97,红A,2117
98,声音,2094
99,眼睛,2088
100,的话,2082
101,拼命,2079
102,拉姆,2077
103,完了,2073
104,个人,2067
105,妹妹,2065
106,不愧,2057
107,姐姐,2036
108,回首,2021
109,如果,1962
110,语言,1943
111,闪闪,1932
112,看见,1904
113,哈哈哈哈哈,1901
114,可是,1900
115,心疼,1847
116,那么,1831
117,魔法,1824
118,起来,1802
119,想到,1799
120,发现,1796
121,塔塔开,1781
122,小迪,1764
123,是否,1755
124,故乡,1753
125,内行,1749
126,官方,1738
127,哈哈,1733
128,过来,1733
129,这种,1724
130,注意,1722
131,眼神,1721
132,为了,1713
133,毒龙,1707
134,表示,1700
135,一定,1699
136,狂喜,1697
137,老骨,1681
138,表情,1678
139,优雅,1669
140,死亡,1663
141,此时,1662
142,行为,1661
143,果然,1652
144,赛高,1644
145,理解,1643
146,颤抖,1628
147,宫村,1617
148,危险,1612
149,摄影师,1597
150,saber,1592
151,灵魂,1582
152,颜艺,1579
153,石上,1579
154,实在,1560
155,砸瓦鲁多,1558
156,欧皇,1544
157,人类,1536
158,直呼,1533
159,上线,1523
160,op,1522
161,压力马斯内,1511
162,别人,1502
163,女仆,1498
164,战神,1496
165,中二病,1492
166,居然,1485
167,awsl,1480
168,鬼畜,1478
169,怠惰,1475
170,自爆,1472
171,唯手熟尔,1471
172,大脑,1467
173,前面,1458
174,变成,1441
175,记得,1437
176,众所周知,1431
177,yyds,1431
178,现充,1425
179,dd,1416
180,ゴゴ,1409
181,吐槽,1407
182,战士,1402
183,问题,1399
184,增加,1396
185,东西,1388
186,桥豆麻袋,1382
187,西内,1380
188,准备,1380
189,能力,1375
190,谢谢,1373
191,你给路打油,1364
192,希腊奶,1360
193,永远,1352
194,奥托,1352
195,普露,1351
196,恋爱,1341
197,正常,1340
198,上手,1335
199,致命,1323
200,兄弟,1321
201,到底,1318
202,哦咩爹多,1313
203,人生,1311
204,妈妈,1307
205,日语,1305
206,藤原,1305
207,哦卡哇伊阔多,1302
208,天使,1298
209,时间,1296
210,一库作,1295
211,阿姨洗铁路,1292
212,日常,1291
213,御姐,1290
214,无敌,1289
215,故事,1288
216,一起,1283
217,大丈夫,1283
218,NTR,1282
219,队友,1278
220,伪娘,1275
221,衣服,1271
222,之前,1270
223,脸红,1268
224,hentai,1261
225,贝蒂,1257
226,腐女,1255
227,全体,1255
228,毒舌,1253
229,prpr,1251
230,百合,1250
231,天然呆,1249
232,岂可修,1245
233,伤害,1244
234,关系,1237
235,不行,1225
236,绝对,1221
237,soudayo,1220
238,痛苦,1218
239,然后,1217
240,ky,1216
241,意思,1215
242,牙白,1213
243,jk,1211
244,萨斯噶,1210
245,要是,1206
246,欧泥,1201
247,kokodayo,1200
248,唔麦一,1199
249,斯斯咩,1193
250,他大姨妈,1193
251,杀必死,1192
252,kksk,1192
253,选择,1191
254,羁绊,1191
255,KUSO,1181
256,发生,1181
257,红豆泥,1175
258,策划,1174
259,工口,1168
260,说的是呢,1166
261,萌大奶,1164
262,恐怖,1144
263,攻略,1141
264,jd,1131
265,搭咩,1131
266,台词,1130
267,帅哥,1123
268,戒指,1122
269,虽然,1121
270,干物女,1121
271,樱花,1120
272,干巴爹,1116
273,远处,1114
274,经历,1111
275,梨梨,1111
276,礼貌,1110
277,只能,1108
278,啊啊,1108
279,真实,1107
280,孤高,1107
281,声优,1105
282,大家,1104
283,圣人,1103
284,中仙,1101
285,肯定,1092
286,疯狂,1084
287,多少,1083
288,起立,1081
289,手机,1079
290,艾姬多娜,1078
291,反派,1076
292,惠美,1071
293,真正,1068
294,游荡,1067
295,存档,1065
296,逐渐,1064
297,今天,1064
298,不住,1059
299,害怕,1054
